low limit,10.089342,10.512238,10.407469,10.5408215,11.2178305,10.6507615
high limit,11.243898,11.029882,11.043751,11.2129685,15.1700995,11.3284885
barcode,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6
DN8007403MAPYQ5TV,10.21408,10.72498,10.94113,10.88008,13.66251,11.02932
DN800740430PYQ5TQ,11.08762,10.80456,10.67924,11.03189,11.27079,11.31995
DN8007403MCPYQ5TT,10.72549,10.6047,10.47741,10.77332,14.0455,10.87328
DN80074042TPYQ5T0,10.72574,10.83708,10.98505,11.04742,11.4241,11.36614
DN80074043RPYQ5TZ,10.6549,10.48959,10.37212,10.50348,15.08112,10.77057
DN8007403R9PYQ5TJ,10.0252,10.58656,10.92314,10.76036,14.05889,11.07936
DN8007403LRPYQ5TH,10.41203,10.68006,10.81101,10.89422,12.90435,11.20432
DN80074043QPYQ5T0,11.07127,10.7216,10.51954,10.77142,12.77927,11.07423
DN80074043NPYQ5T2,10.91254,10.80277,10.78265,10.9403,12.29573,11.21312
DN8007403MDPYQ5TS,10.43134,10.88861,10.82391,10.8037,13.36698,11.07432
DN8007403MYPYQ5T7,10.15701,10.55598,10.72462,10.65603,14.97083,10.96606
DN80074043TPYQ5TX,10.64266,10.68412,10.78691,10.81054,13.22808,11.12539
DN8007403LYPYQ5TA,10.35778,10.58552,10.45593,10.7528,15.38967,10.61311
DN8007403LXPYQ5TB,10.68361,10.71413,10.77314,10.94488,12.25869,11.21538
DN8007403SLPYQ5T4,10.47779,10.76543,11.0791,10.98236,12.50536,11.22502
DN80074043SPYQ5TY,11.02146,10.93753,10.90965,11.01201,11.26685,11.2615
DN80074043MPYQ5T3,10.68299,10.64984,10.63337,10.72665,13.57437,10.98199
DN8007403MFPYQ5TQ,10.07274,10.61925,10.68766,10.51332,15.35284,10.84171
DN8007403LTPYQ5TF,10.32578,10.5678,10.64242,10.77897,13.99046,11.04894
DN8007403MWPYQ5T9,10.71788,10.7383,10.84681,10.89303,12.61579,11.19469
DN8007403MVPYQ5TA,10.70883,10.8854,11.02031,11.05887,11.65552,11.24684
DN8007403RZPYQ5TU,10.32328,10.82688,10.97975,10.7544,13.39171,11.03072
DN8007403MXPYQ5T8,10.6238,10.72838,10.80922,10.85286,12.97478,11.03129
DN8007403RWPYQ5TX,10.73558,10.72917,10.55194,10.88078,13.59273,10.84529
DN800740431PYQ5TP,10.8674,10.8704,10.73546,11.09075,12.50179,10.94996
DN8007403RFPYQ5TC,10.40328,10.48348,10.59297,10.69953,14.16783,10.9228
DN8007403MBPYQ5TU,10.23001,10.77314,10.84414,10.69439,14.09787,10.98256
DN8007403MGPYQ5TP,10.47145,10.7257,10.79761,10.92975,13.34939,10.91468
DN8007403N1PYQ5T1,10.41909,10.51524,10.44705,10.63636,14.98399,10.7506
DN8007403RXPYQ5TW,10.29797,10.70559,10.76274,10.61537,14.44964,10.84914
DN8007403LWPYQ5TC,10,11,11,11,10,12
DN8007403S2PYQ5TN,10.85107,10.76045,10.55989,10.91197,13.0733,10.85871
DN80074042ZPYQ5TU,11.30804,11.01761,10.7544,11.15095,11.03687,11.18449
DN8007403MEPYQ5TR,10.53637,10.73376,10.82319,10.94764,13.04709,10.96834
DN8007403LQPYQ5TJ,10.94766,10.93561,10.84976,11.09178,11.79822,11.08856
DN8007403N2PYQ5T0,-0.1,10,5,11,9,8
DN8007403RDPYQ5TE,10.29101,10.5453,10.64131,10.7806,14.04198,10.97063
DN8007403RYPYQ5TV,11.02983,10.77901,10.52116,10.9653,12.61636,10.89466
DN8007403REPYQ5TD,10.99009,10.86386,10.71816,11.06707,12.11966,10.98705
DN8007403M9PYQ5TW,10.71748,10.88475,10.70035,10.87745,12.98024,10.99982
DN8007403RGPYQ5TB,10.71113,10.70682,10.50712,10.82971,14.0242,10.76584
DN8007403MHPYQ5TN,10.5324,10.5884,10.52103,10.54306,14.85292,10.74157
DN8007403S0PYQ5TQ,10.29407,10.61532,10.63952,10.82482,14.44133,10.78598
DN8007403LUPYQ5TE,10.71326,11.01698,11.03972,11.25031,11.36286,11.17938
DN8007403S1PYQ5TP,10.35644,10.66356,10.71016,10.64064,14.51034,10.80008
DN8007403SJPYQ5T6,10.6372,10.54102,10.5057,10.79538,14.17551,10.94071
DN8007403LVPYQ5TD,11.04024,10.77066,10.74592,11.14608,11.03569,11.25932
DN8007403MZPYQ5T6,11.13108,10.77835,10.65333,10.98108,11.82218,11.08543
DN8007403N0PYQ5T2,10.52011,10.50187,10.58367,10.79532,14.2258,10.93842
DN8007403LSPYQ5TG,10.61456,10.76828,10.78886,10.97503,13.06036,10.9794
DN8007403MAPYQ6TV,10.21408,10.72498,10.94113,10.88008,13.66251,11.02932
DN8007403N2PYQ5T0,10.59367,10.78829,11.01134,11.06355,12.09379,11.28921
DN8007403LWPYQ5TC,10.94053,11.05864,11.00935,11.24698,10.99826,11.17791
