barcode,bank_1_Vf,bank_2_Vf,bank_3_Vf,bank_4_Vf,DOE_to_datum_rotation_mrad,DOE_to_vcsel_rotation_mrad,FOI_X_deg,FOI_Y_deg,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6,result
DN8007403LQPYQ5TJ,5.12219,5.403715,5.14565,5.622678,5.65714,0.62794,45.01243,57.8535,10.94766,10.93561,10.84976,11.09178,11.79822,11.08856,PASS
DN8007403LRPYQ5TH,5.090909,5.364614,5.106549,5.583578,-2.63406,-1.20979,44.88035,57.71957,10.41203,10.68006,10.81101,10.89422,12.90435,11.20432,PASS
DN8007403LSPYQ5TG,5.083089,5.372434,5.12219,5.575758,7.1866,1.89217,45.09446,57.93974,10.61456,10.76828,10.78886,10.97503,13.06036,10.9794,FOI_X_deg FOI_Y_deg
DN8007403LTPYQ5TF,5.12219,5.411535,5.15347,5.607038,6.48645,0.92274,44.9261,57.76328,10.32578,10.5678,10.64242,10.77897,13.99046,11.04894,PASS
DN8007403LUPYQ5TE,5.106549,5.372434,5.14565,5.583578,4.90642,1.44001,45.03624,57.88076,10.71326,11.01698,11.03972,11.25031,11.36286,11.17938,PPO_4
DN8007403LVPYQ5TD,5.075269,5.356794,5.114369,5.575758,-2.18069,0.3748,45.04738,57.93657,11.04024,10.77066,10.74592,11.14608,11.03569,11.25932,FOI_Y_deg PPO_5
DN8007403LWPYQ5TC,5.15347,5.395895,5.17693,5.614858,1.97052,-4.48152,44.99708,57.87582,10.94053,11.05864,11.00935,11.24698,10.99826,11.17791,PPO_2 PPO_4 PPO_5
DN8007403LXPYQ5TB,5.090909,5.364614,5.106549,5.607038,-0.20426,0.34249,44.91268,57.73609,10.68361,10.71413,10.77314,10.94488,12.25869,11.21538,PASS
DN8007403LYPYQ5TA,5.083089,5.356794,5.106549,5.583578,10.97459,4.95203,44.91191,57.68743,10.35778,10.58552,10.45593,10.7528,15.38967,10.61311,DOE_to_datum_rotation_mrad DOE_to_vcsel_rotation_mrad FOI_Y_deg PPO_5 PPO_6
DN8007403M9PYQ5TW,5.114369,5.411535,5.15347,5.614858,2.06599,-0.87281,45.02784,57.87733,10.71748,10.88475,10.70035,10.87745,12.98024,10.99982,PASS
DN8007403MAPYQ5TV,5.090909,5.356794,5.13001,5.575758,-1.27781,-1.94492,44.85551,57.70469,10.21408,10.72498,10.94113,10.88008,13.66251,11.02932,FOI_X_deg
DN8007403MBPYQ5TU,5.106549,5.372434,5.13001,5.599218,1.55309,-0.99274,44.94889,57.7886,10.23001,10.77314,10.84414,10.69439,14.09787,10.98256,PASS
DN8007403MCPYQ5TT,5.098729,5.380254,5.14565,5.591398,-1.89789,-1.30112,44.86273,57.69793,10.72549,10.6047,10.47741,10.77332,14.0455,10.87328,FOI_X_deg
DN8007403MDPYQ5TS,5.114369,5.395895,5.14565,5.614858,-2.60022,-4.91445,44.90674,57.77432,10.43134,10.88861,10.82391,10.8037,13.36698,11.07432,PASS
DN8007403MEPYQ5TR,5.090909,5.388074,5.13783,5.607038,1.91447,0.93592,45.00704,57.85592,10.53637,10.73376,10.82319,10.94764,13.04709,10.96834,PASS
DN8007403MFPYQ5TQ,5.090909,5.388074,5.13001,5.599218,4.68654,0.34302,44.92507,57.72568,10.07274,10.61925,10.68766,10.51332,15.35284,10.84171,PPO_1 PPO_4 PPO_5
DN8007403MGPYQ5TP,5.13783,5.395895,5.16129,5.614858,2.01772,-1.82634,44.9942,57.84678,10.47145,10.7257,10.79761,10.92975,13.34939,10.91468,PASS
DN8007403MHPYQ5TN,5.114369,5.395895,5.15347,5.591398,0.4895,-0.47306,45.03273,57.86727,10.5324,10.5884,10.52103,10.54306,14.85292,10.74157,PASS
DN8007403MVPYQ5TA,5.090909,5.364614,5.12219,5.560117,6.97604,2.1481,44.93169,57.72515,10.70883,10.8854,11.02031,11.05887,11.65552,11.24684,PASS
DN8007403MWPYQ5T9,5.083089,5.372434,5.12219,5.599218,9.50909,3.77045,44.93047,57.6813,10.71788,10.7383,10.84681,10.89303,12.61579,11.19469,FOI_Y_deg
DN8007403MXPYQ5T8,5.059628,5.348974,5.106549,5.552297,5.22075,0.14716,44.93674,57.75939,10.6238,10.72838,10.80922,10.85286,12.97478,11.03129,bank_4_Vf
DN8007403MYPYQ5T7,5.12219,5.380254,5.13783,5.614858,6.16223,0.57741,44.90678,57.71434,10.15701,10.55598,10.72462,10.65603,14.97083,10.96606,PASS
DN8007403MZPYQ5T6,5.13001,5.403715,5.16129,5.591398,6.17766,0.42552,45.04881,57.92681,11.13108,10.77835,10.65333,10.98108,11.82218,11.08543,FOI_Y_deg
DN8007403N0PYQ5T2,5.13783,5.395895,5.15347,5.591398,5.50656,1.52179,45.07101,57.91045,10.52011,10.50187,10.58367,10.79532,14.2258,10.93842,PPO_2
DN8007403N1PYQ5T1,5.114369,5.395895,5.13783,5.591398,-1.82323,-6.03784,44.99505,57.90733,10.41909,10.51524,10.44705,10.63636,14.98399,10.7506,DOE_to_vcsel_rotation_mrad
DN8007403N2PYQ5T0,5.14565,5.411535,5.184751,5.607038,7.22513,0.89466,45.01625,57.8551,10.59367,10.78829,11.01134,11.06355,12.09379,11.28921,PASS
DN8007403R9PYQ5TJ,5.15347,5.395895,5.16911,5.607038,5.26818,1.36169,44.87604,57.68055,10.0252,10.58656,10.92314,10.76036,14.05889,11.07936,FOI_Y_deg PPO_1
DN8007403RDPYQ5TE,5.13783,5.395895,5.16911,5.622678,1.8827,0.22453,45.01793,57.87459,10.29101,10.5453,10.64131,10.7806,14.04198,10.97063,PASS
