low limit,5.05141715,5.33294215,5.1049851,5.5581621
high limit,5.18514185,5.46666685,5.2175949,5.6637339
barcode,bank_1_Vf,bank_2_Vf,bank_3_Vf,bank_4_Vf
DN800740430PYQ5TQ,5.13001,5.388074,5.16911,5.614858
DN8007403S2PYQ5TN,5.13001,5.395895,5.16129,5.607038
DN8007403S1PYQ5TP,5.13783,5.427175,5.15347,5.630498
DN8007403SJPYQ5T6,5.12219,5.388074,5.184751,5.599218
DN8007403LRPYQ5TH,5.090909,5.364614,5.106549,5.583578
DN8007403MDPYQ5TS,5.114369,5.395895,5.14565,5.614858
DN8007403LVPYQ5TD,5.075269,5.356794,5.114369,5.575758
DN8007403MCPYQ5TT,5.098729,5.380254,5.14565,5.591398
DN8007403N1PYQ5T1,5.114369,5.395895,5.13783,5.591398
DN8007403MAPYQ5TV,5.090909,5.356794,5.13001,5.575758
DN80074043SPYQ5TY,5.043988,5.356794,5.098729,5.575758
DN8007403RFPYQ5TC,0,0,0,0
DN8007403RFPYQ5TC,5.16911,5.442815,5.192571,5.638319
DN8007403LXPYQ5TB,5.090909,5.364614,5.106549,5.607038
DN8007403RWPYQ5TX,5.098729,5.388074,5.13001,5.607038
DN8007403MHPYQ5TN,5.114369,5.395895,5.15347,5.591398
DN8007403RYPYQ5TV,5.12219,5.372434,5.14565,5.599218
DN8007403MBPYQ5TU,5.106549,5.372434,5.13001,5.599218
DN8007403SLPYQ5T4,5.114369,5.380254,5.14565,5.614858
DN8007403RDPYQ5TE,5.13783,5.395895,5.16911,5.622678
DN8007403MEPYQ5TR,5.090909,5.388074,5.13783,5.607038
DN8007403LWPYQ5TC,5.15347,5.395895,5.17693,5.614858
DN8007403MGPYQ5TP,5.13783,5.395895,5.16129,5.614858
DN8007403M9PYQ5TW,5.114369,5.411535,5.15347,5.614858
DN80074043QPYQ5T0,5.13001,5.419355,5.15347,5.622678
DN80074043RPYQ5TZ,5.067449,5.348974,5.098729,5.552297
DN80074042TPYQ5T0,5.15347,5.411535,5.192571,5.638319
DN8007403RXPYQ5TW,5.192571,5.474096,5.223851,5.669599
DN8007403RZPYQ5TU,5.15347,5.395895,5.17693,5.622678
DN80074043NPYQ5T2,5.083089,5.325513,5.106549,5.575758
DN8007403MFPYQ5TQ,-1,-2,-3,-3
DN8007403MFPYQ5TQ,5.090909,5.388074,5.13001,5.599218
DN80074043MPYQ5T3,5.13001,5.388074,5.16911,5.607038
DN8007403LUPYQ5TE,5.106549,5.372434,5.14565,5.583578
DN80074043TPYQ5TX,5.14565,5.411535,5.192571,5.630498
DN8007403MXPYQ5T8,5.059628,5.348974,5.106549,5.552297
DN8007403R9PYQ5TJ,5.15347,5.395895,5.16911,5.607038
DN8007403N0PYQ5T2,5.13783,5.395895,5.15347,5.591398
DN8007403LQPYQ5TJ,5.12219,5.403715,5.14565,5.622678
DN8007403S0PYQ5TQ,5.12219,5.403715,5.16129,5.622678
DN8007403REPYQ5TD,5.098729,5.388074,5.13001,5.591398
DN8007403MYPYQ5T7,5.12219,5.380254,5.13783,5.614858
DN8007403MZPYQ5T6,5.13001,5.403715,5.16129,5.591398
DN8007403RGPYQ5TB,5.098729,5.372434,5.14565,5.575758
DN8007403LTPYQ5TF,5.12219,5.411535,5.15347,5.607038
DN80074042ZPYQ5TU,5.192571,5.442815,5.216031,5.661779
DN800740431PYQ5TP,5.14565,5.411535,5.184751,5.638319
DN8007403MVPYQ5TA,5.090909,5.364614,5.12219,5.560117
DN8007403LSPYQ5TG,5.083089,5.372434,5.12219,5.575758
DN8007403N2PYQ5T0,5.14565,5.411535,5.184751,5.607038
DN8007403MWPYQ5T9,5.083089,5.372434,5.12219,5.599218
DN8007403LYPYQ5TA,5.083089,5.356794,5.106549,5.583578
